Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,6.260000,6.260000,6.260000,31.299999,4.340125,0
2001-01-02,31.600000,31.700001,31.200001,31.400000,4.353991,9266400
2001-01-03,31.200001,31.400000,30.500000,30.900000,4.284660,14622350
2001-01-04,30.700001,31.799999,30.000000,31.799999,4.409456,25372650
2001-01-05,31.400000,32.900002,31.400000,32.700001,4.534253,17354725
2001-01-08,32.599998,34.000000,32.299999,34.000000,4.714514,48378225
2001-01-09,34.000000,34.400002,32.900002,33.400002,4.631316,31381150
2001-01-10,33.400002,33.400002,32.799999,32.799999,4.548119,24757625
2001-01-11,32.900002,32.900002,32.299999,32.599998,4.520386,22731200
2001-01-12,32.599998,32.799999,31.900000,32.099998,4.451055,50811550
2001-01-15,32.400002,33.200001,32.099998,33.200001,4.603583,24226450
2001-01-16,33.400002,33.799999,32.900002,33.500000,4.645182,34647025
2001-01-17,34.000000,34.599998,33.799999,34.400002,4.769977,31907200
2001-01-18,34.400002,34.400002,33.799999,33.900002,4.700647,33094225
2001-01-19,34.200001,34.200001,33.299999,33.400002,4.631316,45224200
2001-01-22,33.799999,33.900002,33.299999,33.700001,4.672915,110435400
2001-01-23,33.799999,33.900002,33.599998,33.700001,4.672915,43098725
2001-01-24,null,null,null,null,null,null
2001-01-25,33.900002,34.799999,33.799999,34.400002,4.769977,72438325
2001-01-26,null,null,null,null,null,null
2001-01-29,35.400002,35.799999,35.099998,35.200001,4.880909,47676300
2001-01-30,35.000000,35.299999,34.799999,35.299999,4.894774,19145225
2001-01-31,35.200001,35.799999,35.200001,35.700001,4.950239,70603350
2001-02-01,35.599998,38.200001,35.400002,38.099998,5.283028,430937200
2001-02-02,38.200001,38.400002,37.200001,37.299999,5.172098,266346825
2001-02-05,37.000000,37.400002,36.700001,37.200001,5.158233,69396950
2001-02-06,37.299999,37.900002,37.200001,37.400002,5.185964,60673250
2001-02-07,37.200001,37.700001,37.200001,37.500000,5.199831,41649225
2001-02-08,37.400002,38.599998,37.400002,38.299999,5.310760,77077675
2001-02-09,38.299999,38.400002,37.799999,38.099998,5.283028,42983375
2001-02-12,38.000000,38.900002,37.799999,38.400002,5.324627,48147550
2001-02-13,36.599998,38.700001,36.599998,38.299999,5.310760,38965900
2001-02-14,38.000000,38.599998,37.799999,38.099998,5.283028,48471325
2001-02-15,38.000000,39.000000,38.000000,38.900002,5.393959,60473400
2001-02-16,38.200001,38.900002,37.299999,37.400002,5.185964,59474250
2001-02-19,37.200001,38.500000,37.200001,38.000000,5.269162,36053800
2001-02-20,38.000000,39.400002,38.000000,39.000000,5.407825,44281350
2001-02-21,39.200001,39.599998,38.500000,38.700001,5.366226,47735750
2001-02-22,38.000000,39.200001,38.000000,38.400002,5.324627,48747775
2001-02-23,38.299999,39.000000,37.900002,38.299999,5.310760,42910850
2001-02-26,38.299999,38.900002,38.200001,38.500000,5.338493,31920375
2001-02-27,38.700001,39.400002,38.200001,38.400002,5.324627,57866450
2001-02-28,38.400002,38.400002,37.000000,37.299999,5.172098,64599750
2001-03-01,37.099998,37.099998,36.400002,36.599998,5.075035,51404425
2001-03-02,36.400002,37.099998,36.299999,36.900002,5.116634,20864850
2001-03-05,37.000000,37.400002,36.700001,37.000000,5.130500,8162875
2001-03-06,37.000000,37.099998,36.400002,36.500000,5.061169,35120625
2001-03-07,36.599998,37.000000,36.400002,36.900002,5.116634,24184550
2001-03-08,37.000000,37.599998,36.900002,37.500000,5.199831,22405025
2001-03-09,37.400002,37.599998,37.299999,37.299999,5.172098,5420275
2001-03-12,37.200001,37.500000,37.000000,37.400002,5.185964,30414600
2001-03-13,37.200001,37.200001,36.400002,36.599998,5.075035,40346175
2001-03-14,null,null,null,null,null,null
2001-03-15,34.500000,34.799999,33.700001,34.400002,4.769977,41408000
2001-03-16,34.200001,34.200001,33.099998,33.299999,4.617451,34546125
2001-03-19,33.500000,33.599998,31.400000,31.400000,4.353991,70866075
2001-03-20,31.900000,32.599998,30.600000,32.500000,4.506520,84508925
2001-03-21,32.000000,34.000000,32.000000,33.299999,4.617451,36088250
2001-03-22,33.500000,33.500000,31.799999,32.200001,4.464921,25602025
2001-03-23,32.599998,33.099998,32.000000,32.400002,4.492654,15856200
2001-03-26,32.400002,33.299999,32.400002,32.900002,4.561985,25663925
2001-03-27,33.000000,34.000000,32.299999,33.900002,4.700647,11281375
2001-03-28,33.599998,33.599998,32.900002,33.299999,4.617451,11840175
2001-03-29,32.799999,33.099998,32.299999,32.900002,4.561985,19692300
2001-03-30,32.900002,33.099998,31.799999,32.299999,4.478788,13156225
2001-04-02,32.400002,32.400002,30.900000,31.000000,4.298527,21315375
2001-04-03,31.400000,32.299999,30.500000,31.799999,4.409456,41012600
2001-04-04,31.200001,33.000000,31.000000,32.900002,4.561985,37691425
2001-04-05,32.500000,33.599998,32.500000,33.400002,4.631316,34692625
2001-04-06,33.400002,33.700001,32.799999,33.000000,4.575851,36421300
2001-04-09,33.200001,34.400002,32.799999,34.099998,4.728379,42935575
2001-04-10,34.400002,35.799999,34.400002,35.700001,4.950239,53712000
2001-04-11,35.599998,36.200001,33.500000,34.200001,4.742247,58102875
2001-04-12,34.400002,34.599998,33.900002,34.299999,4.756113,14708150
2001-04-13,6.860000,6.860000,6.860000,34.299999,4.756113,0
2001-04-16,6.860000,6.860000,6.860000,34.299999,4.756113,0
2001-04-17,33.799999,35.099998,33.700001,34.900002,4.839310,37658575
2001-04-18,35.000000,35.500000,34.000000,34.700001,4.811576,34405275
2001-04-19,34.599998,36.900002,34.599998,36.200001,5.019571,62943350
2001-04-20,36.200001,37.400002,36.200001,37.000000,5.130500,34080000
2001-04-23,35.799999,36.799999,35.200001,36.099998,5.005703,16677200
2001-04-24,36.000000,36.599998,36.000000,36.000000,4.991838,22590500
2001-04-25,36.200001,36.500000,35.700001,36.500000,5.061169,30467625
2001-04-26,35.099998,35.099998,33.799999,34.299999,6.091161,59834650
2001-04-27,34.400002,34.599998,33.500000,33.799999,6.002370,41021775
2001-04-30,34.000000,34.500000,33.500000,34.500000,6.126678,49138800
2001-05-01,6.900000,6.900000,6.900000,34.500000,6.126678,0
2001-05-02,33.000000,34.400002,32.599998,33.200001,5.895818,101643575
2001-05-03,32.599998,32.599998,31.200001,31.299999,5.558406,103550500
2001-05-04,31.900000,32.000000,31.900000,32.000000,5.682716,49468625
2001-05-07,6.400000,6.400000,6.400000,32.000000,5.682716,0
2001-05-08,32.799999,33.000000,32.200001,32.400002,5.753749,26239175
2001-05-09,32.400002,32.700001,32.000000,32.599998,5.789266,17367475
2001-05-10,32.099998,33.000000,32.099998,32.599998,5.789266,21962000
2001-05-11,32.599998,32.900002,32.299999,32.700001,5.807025,31067150
