Date,Open,High,Low,Close,Adj Close,Volume
2001-01-04,13898.089844,13990.570313,13667.679688,13691.490234,13691.490234,0
2001-01-05,13763.219727,13947.059570,13725.459961,13867.610352,13867.610352,0
2001-01-08,null,null,null,null,null,null
2001-01-09,13732.849609,13732.849609,13460.820313,13610.509766,13610.509766,0
2001-01-10,13593.160156,13593.160156,13349.150391,13432.650391,13432.650391,0
2001-01-11,13433.089844,13436.610352,13123.809570,13201.070313,13201.070313,0
2001-01-12,13246.200195,13451.950195,13246.200195,13347.740234,13347.740234,0
2001-01-15,13450.280273,13573.549805,13441.519531,13506.230469,13506.230469,0
2001-01-16,13561.730469,13598.200195,13442.089844,13584.450195,13584.450195,0
2001-01-17,13593.830078,13688.900391,13476.549805,13667.629883,13667.629883,0
2001-01-18,13734.790039,13931.910156,13723.209961,13873.919922,13873.919922,0
2001-01-19,13956.339844,14186.620117,13947.919922,13989.120117,13989.120117,0
2001-01-22,14010.070313,14039.400391,13841.030273,14032.419922,14032.419922,0
2001-01-23,13966.639648,14060.230469,13913.099609,13984.660156,13984.660156,0
2001-01-24,14020.610352,14034.110352,13857.830078,13893.580078,13893.580078,0
2001-01-25,13879.830078,13879.830078,13730.169922,13803.379883,13803.379883,0
2001-01-26,13726.980469,13750.230469,13626.049805,13696.059570,13696.059570,0
2001-01-29,13724.259766,13908.400391,13721.860352,13845.280273,13845.280273,0
2001-01-30,13885.269531,13910.709961,13713.549805,13826.650391,13826.650391,0
2001-01-31,13855.740234,13855.740234,13726.509766,13843.549805,13843.549805,0
2001-02-01,13740.919922,13779.549805,13667.929688,13779.549805,13779.549805,0
2001-02-02,13764.690430,13862.290039,13703.629883,13703.629883,13703.629883,0
2001-02-05,13588.639648,13588.639648,13367.910156,13385.519531,13385.519531,0
2001-02-06,13316.250000,13379.440430,13240.370117,13269.849609,13269.849609,0
2001-02-07,13273.929688,13373.780273,13268.610352,13366.009766,13366.009766,0
2001-02-08,13336.339844,13336.339844,12966.830078,13138.230469,13138.230469,0
2001-02-09,13140.610352,13460.389648,13135.019531,13422.830078,13422.830078,0
2001-02-12,null,null,null,null,null,null
2001-02-13,13431.719727,13461.110352,13247.950195,13274.700195,13274.700195,0
