Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,4717.490234,4945.089844,4678.000000,4935.279785,4935.261230,0
2001-01-03,4843.540039,4970.450195,4831.120117,4894.790039,4894.771484,0
2001-01-04,5028.319824,5169.129883,5028.319824,5136.129883,5136.110352,0
2001-01-05,5153.009766,5298.430176,5117.629883,5295.529785,5295.510254,0
2001-01-08,5248.100098,5368.770020,5188.509766,5188.509766,5188.490234,0
2001-01-09,5206.500000,5376.120117,5206.500000,5376.120117,5376.100098,0
2001-01-10,5406.129883,5476.899902,5350.069824,5436.779785,5436.759277,0
2001-01-11,5475.589844,5531.200195,5348.339844,5369.240234,5369.220215,0
2001-01-12,5404.350098,5423.189941,5288.790039,5339.399902,5339.380371,0
2001-01-15,5292.750000,5380.490234,5254.830078,5379.660156,5379.640137,0
2001-01-16,5399.700195,5665.979980,5399.700195,5662.939941,5662.918945,0
2001-01-17,5702.870117,5805.259766,5652.520020,5769.950195,5769.929199,0
2001-01-18,5803.520020,5892.529785,5734.490234,5847.910156,5847.888184,0
2001-01-19,null,null,null,null,null,null
2001-01-22,null,null,null,null,null,null
2001-01-23,null,null,null,null,null,null
2001-01-24,null,null,null,null,null,null
2001-01-25,null,null,null,null,null,null
2001-01-26,null,null,null,null,null,null
2001-01-29,5850.700195,5933.680176,5680.060059,5680.060059,5680.039063,0
2001-01-30,5685.189941,5792.500000,5577.870117,5792.500000,5792.479004,0
2001-01-31,5853.620117,5992.430176,5821.890137,5936.200195,5936.178223,0
2001-02-01,5927.250000,5975.049805,5850.990234,5897.930176,5897.908203,0
2001-02-02,5958.779785,6103.100098,5958.779785,6049.259766,6049.237305,0
2001-02-05,6012.430176,6012.430176,5867.790039,5932.419922,5932.397949,0
2001-02-06,5905.600098,6042.720215,5828.330078,5849.060059,5849.038086,0
2001-02-07,5738.660156,5781.200195,5685.589844,5693.580078,5693.559082,0
2001-02-08,5693.629883,5763.140137,5653.859863,5758.600098,5758.579102,0
2001-02-09,5782.419922,5893.399902,5742.450195,5809.839844,5809.818359,0
2001-02-12,5807.609863,5894.270020,5795.680176,5847.069824,5847.047852,0
2001-02-13,5922.020020,6027.490234,5917.629883,6027.490234,6027.467773,0
2001-02-14,6060.890137,6097.290039,5881.040039,5887.680176,5887.658203,0
